Datatime            | Host/port        | Bash  | PROG | USB   |Conn

2023-02-15 21:43:21 | localhost : 3008 | - | - | - | True
2023-02-15 21:43:23 | localhost : 3009 | - | - | - | True
2023-02-15 21:45:25 | localhost : 3008 | False | True | False | False
2023-02-15 21:45:25 | localhost : 3009 | False | True | False | False
2023-02-15 21:45:45 | localhost : 3008 | False | True | False | False
2023-02-15 21:45:45 | localhost : 3009 | False | True | False | False
2023-02-15 21:46:05 | localhost : 3008 | False | True | False | False
2023-02-15 21:46:05 | localhost : 3009 | False | True | False | False
2023-02-15 21:46:56 | localhost : 3008 | False | True | False | False
2023-02-15 21:46:56 | localhost : 3009 | False | True | False | False
2023-02-15 21:47:16 | localhost : 3008 | False | True | False | False
2023-02-15 21:47:16 | localhost : 3009 | False | True | False | False
2023-02-15 21:47:36 | localhost : 3008 | False | True | False | False
2023-02-15 21:47:36 | localhost : 3009 | False | True | False | False
2023-02-15 21:47:56 | localhost : 3008 | False | True | False | False
2023-02-15 21:47:56 | localhost : 3009 | False | True | False | False
2023-02-15 21:48:16 | localhost : 3008 | False | True | False | False
2023-02-15 21:48:16 | localhost : 3009 | False | True | False | False
2023-02-15 21:48:39 | localhost : 3008 | - | - | - | True
2023-02-15 21:48:41 | localhost : 3009 | False | True | False | False
2023-02-15 21:49:00 | localhost : 3008 | - | - | - | True
2023-02-15 21:49:02 | localhost : 3009 | False | True | False | False
2023-02-15 21:49:17 | localhost : 3008 | - | - | - | True
2023-02-15 21:49:20 | localhost : 3009 | False | True | False | False
2023-02-15 22:01:44 | localhost : 3008 | False | True | False | False
2023-02-15 22:01:44 | localhost : 3009 | False | True | False | False
2023-02-21 21:27:18 | localhost : 3009 | False | True | False | False
2023-02-21 21:32:56 | localhost : 3009 | False | True | False | False
2023-02-21 21:36:38 | localhost : 3009 | False | True | False | False
2023-02-21 21:36:58 | localhost : 3009 | False | True | False | False
2023-02-21 21:37:18 | localhost : 3009 | False | True | False | False
2023-02-21 21:37:40 | localhost : 3009 | - | - | - | True
2023-02-21 21:38:32 | localhost : 3009 | - | - | - | True
2023-02-21 21:38:38 | localhost : 3009 | False | True | False | False
2023-02-21 21:38:58 | localhost : 3009 | False | True | False | False
2023-02-21 21:41:40 | localhost : 3009 | - | - | - | True
2023-02-21 21:42:55 | localhost : 3009 | False | True | False | False
2023-02-21 21:45:33 | localhost : 3009 | False | True | False | False
2023-02-21 21:59:32 | localhost : 3009 | False | True | False | False
2023-02-21 21:59:52 | localhost : 3009 | False | True | False | False
2023-02-21 22:22:05 | localhost : 3009 | False | True | False | False
2023-02-21 22:22:25 | localhost : 3009 | False | True | False | False
2023-02-21 22:22:45 | localhost : 3009 | False | True | False | False
2023-02-21 22:23:34 | localhost : 3009 | False | True | False | False
2023-02-21 22:23:54 | localhost : 3009 | False | True | False | False
2023-02-22 00:07:55 | localhost : 3090 | True | False | True
2023-02-22 00:15:43 | localhost : 3009 | False | True | False | False
2023-02-22 00:16:05 | localhost : 3009 | - | - | - | True
2023-02-22 00:16:25 | localhost : 3009 | - | - | - | True
2023-02-22 00:16:45 | localhost : 3009 | - | - | - | True
2023-02-22 00:17:05 | localhost : 3009 | - | - | - | True
2023-02-22 18:26:22 | localhost : 3009 | - | - | - | True
2023-02-22 19:09:25 | localhost : 3007 | False | True | False | False
2023-02-22 19:17:51 | localhost : 3010 | False | True | False | False
2023-02-22 21:54:13 | localhost : 3010 | False | True | False | False
2023-02-22 21:54:33 | localhost : 3010 | False | True | False | False
2023-02-22 22:48:51 | localhost : 3010 | False | True | False | False
2023-02-22 22:49:11 | localhost : 3010 | False | True | False | False
2023-02-22 22:49:33 | localhost : 3010 | - | - | - | True
2023-02-22 22:49:53 | localhost : 3010 | - | - | - | True
2023-02-22 23:27:32 | localhost : 3010 | True | True | False | False
2023-02-22 23:27:52 | localhost : 3010 | True | True | False | False
2023-02-22 23:28:12 | localhost : 3010 | True | True | False | False
2023-02-22 23:28:32 | localhost : 3010 | True | True | False | False
2023-02-22 23:28:52 | localhost : 3010 | True | True | False | False
2023-02-22 23:29:12 | localhost : 3010 | True | True | False | False
2023-02-22 23:29:32 | localhost : 3010 | True | True | False | False
2023-02-22 23:29:52 | localhost : 3010 | True | True | False | False
2023-02-22 23:30:12 | localhost : 3010 | True | True | False | False
2023-02-22 23:51:21 | localhost : 3010 | True | True | False | False
2023-02-22 23:51:41 | localhost : 3010 | True | True | False | False
2023-02-22 23:52:01 | localhost : 3010 | True | True | False | False
2023-02-22 23:52:23 | localhost : 3010 | - | - | - | True
